"Timestamp","Index","binary","design_type"
"2022/11/22 2:29:10 PM GMT+7","1","house_high_fence;non_residential_builds;main_street","C21"
"2022/11/22 3:43:55 PM GMT+7","2","house_high_fence;house_CCTV;puldur","A10"
"2022/11/22 3:45:12 PM GMT+7","3","house_high_fence;house_CCTV;puldur","A10"
"2022/11/22 3:46:38 PM GMT+7","4","house_high_fence;house_CCTV","A10"
"2022/11/22 3:50:33 PM GMT+7","5","house_high_fence;non_residential_builds","C21"
"2022/11/22 3:52:49 PM GMT+7","6","house_high_fence;house_CCTV;puldur;non_residential_builds","A10"
"2022/11/22 5:55:15 PM GMT+7","7","non_house_CCTV;gardu;gapura;symbolic_medium;puldur;non_residential_builds;main_street","A11"
"2022/11/22 6:08:23 PM GMT+7","8","tumpang_tindih;non_house_CCTV;gardu;gapura;symbolic_medium;puldur;non_residential_builds;main_street","C21"
"2022/11/22 6:09:55 PM GMT+7","9","tumpang_tindih;house_high_fence;puldur;non_residential_builds;main_street","C21"
"2022/11/24 5:14:18 PM GMT+7","10","house_high_fence;house_CCTV;gardu;non_residential_builds;main_street","C21"
"2022/11/24 5:45:40 PM GMT+7","11","puldur;non_residential_builds;main_street","C10"
"2022/11/24 5:46:53 PM GMT+7","12","","A10"
"2022/11/24 5:47:40 PM GMT+7","13","house_high_fence;non_residential_builds;main_street","C10"
"2022/11/24 5:50:27 PM GMT+7","14","puldur","C20"
"2022/11/24 6:19:40 PM GMT+7","15","gardu;main_street","A10"
"2022/11/24 6:20:44 PM GMT+7","16","main_street","A10"
"2022/11/24 6:23:12 PM GMT+7","17","house_high_fence;house_CCTV;gardu;main_street",""
"2022/11/24 6:27:47 PM GMT+7","18","main_street","A10"
"2022/11/24 6:29:44 PM GMT+7","19","gardu;main_street","C21"
"2022/11/24 6:40:26 PM GMT+7","20","non_house_CCTV;gardu;gapura;symbolic_medium;main_street","A11"
"2022/11/24 6:41:41 PM GMT+7","21","house_high_fence;gardu;main_street","C21"
"2022/11/24 7:11:58 PM GMT+7","22","non_residential_builds","A10"
"2022/11/24 7:13:13 PM GMT+7","23","house_high_fence;puldur;non_residential_builds;main_street","C10"
"2022/11/24 7:16:32 PM GMT+7","24","puldur","C10"
"2022/11/24 7:20:09 PM GMT+7","25","non_residential_builds","B"
"2022/12/02 4:45:28 PM GMT+7","28","gardu;gapura;symbolic_medium;puldur;non_residential_builds","C21"
"2022/12/02 5:03:28 PM GMT+7","29","house_high_fence;house_CCTV;non_residential_builds","A10"
"2022/12/03 12:29:48 PM GMT+7","30","house_high_fence;house_CCTV;non_house_CCTV;gardu;gapura;symbolic_medium;puldur","A10"
"2022/12/03 12:30:39 PM GMT+7","31","house_high_fence;symbolic_medium","C21"
"2022/12/03 12:37:38 PM GMT+7","32","house_high_fence;house_CCTV;non_house_CCTV;puldur;non_residential_builds","C21"
"2022/12/03 12:48:33 PM GMT+7","33","house_high_fence;house_CCTV;gardu","A10"
"2022/12/05 3:53:25 PM GMT+7","34","house_high_fence;house_CCTV;puldur;non_residential_builds","A10"
"2022/12/05 3:55:40 PM GMT+7","35","house_high_fence;house_CCTV","A10"
"2022/12/05 4:25:27 PM GMT+7","36","house_high_fence;house_CCTV;non_house_CCTV;gardu;symbolic_medium;non_residential_builds","C21"
"2022/12/05 5:14:07 PM GMT+7","37","non_residential_builds;main_street","A10"
"2022/12/05 5:23:44 PM GMT+7","38","symbolic_medium;puldur;non_residential_builds;main_street","A11"
"2022/12/05 5:31:47 PM GMT+7","40","house_high_fence;non_house_CCTV;gardu;gapura;symbolic_medium;puldur;main_street","A11"
"2022/12/05 5:34:49 PM GMT+7","41","house_high_fence;non_house_CCTV;gardu;gapura;puldur;main_street","A11"
"2022/12/05 5:36:35 PM GMT+7","42","tumpang_tindih;symbolic_medium","A10"
"2022/12/05 5:37:41 PM GMT+7","43","house_high_fence;non_house_CCTV;gardu;gapura;symbolic_medium;main_street","A11"
"2022/12/05 6:29:47 PM GMT+7","39","house_high_fence;house_CCTV;non_house_CCTV;gardu;symbolic_medium;puldur;main_street","A10"
"2022/12/06 2:22:33 PM GMT+7","44","non_residential_builds;main_street","C20"
